year,month,count
1975,2,1
1976,6,1
1978,6,1
1978,11,1
1979,10,2
1980,2,1
1980,5,1
1981,6,1
1982,7,1
1982,9,1
1982,10,1
1982,12,2
1983,2,1
1983,3,2
1983,4,1
1983,7,1
1984,2,1
1984,4,1
1984,6,1
1984,7,1
1984,10,2
1985,2,1
1985,5,1
1985,10,1
1986,5,2
1986,11,1
1987,4,3
1987,6,3
1987,7,6
1987,10,2
1987,11,1
1988,4,1
1988,5,1
1988,10,1
1988,12,1
1989,3,1
1989,4,1
1989,5,1
1989,6,2
1989,7,3
1989,10,2
1989,11,1
1989,12,2
1990,2,1
1990,3,2
1990,5,1
1990,6,3
1990,9,1
1990,10,1
1990,12,1
1991,2,19
1991,5,5
1991,8,4
1991,10,3
1991,11,2
1992,2,32
1992,3,2
1992,4,1
1992,6,1
1992,8,1
1992,9,1
1992,10,1
1992,11,4
1992,12,2
1993,2,8
1993,5,1
1993,6,2
1993,8,3
1993,9,2
1993,10,2
1993,11,4
1994,2,1
1994,3,2
1994,4,2
1994,5,1
1994,6,1
1994,8,1
1994,9,3
1994,10,2
1994,11,1
1994,12,5
1995,2,2
1995,4,2
1995,6,2
1995,7,1
1995,9,3
1995,10,6
1995,12,2
1996,2,6
1996,3,1
1996,4,1
1996,5,1
1996,6,1
1996,8,1
1996,9,3
1996,11,2
1996,12,4
1997,2,5
1997,3,4
1997,4,2
1997,5,1
1997,6,2
1997,7,3
1997,8,3
1997,9,7
1997,10,1
1997,11,4
1997,12,1
1998,2,3
1998,3,4
1998,4,10
1998,5,2
1998,6,4
1998,7,5
1998,8,2
1998,9,3
1998,10,8
1999,1,1
1999,2,3
1999,3,1
1999,5,3
1999,6,2
1999,7,18
1999,9,6
1999,10,11
1999,11,14
1999,12,29
2000,1,37
2000,2,38
2000,3,15
2000,4,25
2000,5,6
2000,6,9
2000,7,18
2000,8,12
2000,9,11
2000,10,50
2000,11,117
2000,12,15
2001,1,32
2001,2,45
2001,3,68
2001,4,25
2001,5,10
2001,6,14
2001,7,21
2001,9,15
2001,10,143
2001,11,10
2001,12,106
2002,1,8
2002,2,248
2002,3,69
2002,4,11
2002,5,20
2002,6,10
2002,7,51
2002,9,3
2002,10,20
2002,11,52
2002,12,32
2003,1,32
2003,2,29
2003,3,16
2003,4,48
2003,5,18
2003,6,40
2003,7,53
2003,9,12
2003,10,73
2003,11,35
2003,12,56
2004,1,33
2004,2,17
2004,3,25
2004,4,31
2004,5,18
2004,6,40
2004,7,57
2004,9,40
2004,10,60
2004,11,67
2004,12,31
2005,1,21
2005,2,68
2005,3,35
2005,4,48
2005,5,44
2005,6,58
2005,7,51
2005,8,13
2005,9,53
2005,10,85
2005,11,105
2005,12,82
2006,1,50
2006,2,43
2006,3,85
2006,4,154
2006,5,30
2006,6,128
2006,7,82
2006,8,35
2006,9,35
2006,10,103
2006,11,80
2006,12,88
2007,1,87
2007,2,76
2007,3,37
2007,4,53
2007,5,68
2007,6,93
2007,7,123
2007,9,41
2007,10,90
2007,11,99
2007,12,70
2008,1,72
2008,2,67
2008,3,62
2008,4,85
2008,5,56
2008,6,70
2008,7,143
2008,9,53
2008,10,83
2008,11,87
2008,12,106
2009,1,103
2009,2,53
2009,3,64
2009,4,78
2009,5,44
2009,6,96
2009,7,90
2009,9,56
2009,10,143
2009,11,51
2009,12,94
2010,1,87
2010,2,75
2010,3,68
2010,4,76
2010,5,54
2010,6,53
2010,7,58
2010,9,46
2010,10,92
2010,11,64
2010,12,77
2011,1,73
2011,2,66
2011,3,33
2011,4,39
2011,5,45
2011,6,41
2011,7,42
2011,9,37
2011,10,61
2011,11,41
2011,12,65
2012,1,44
2012,2,31
2012,3,32
2012,4,44
2012,5,37
2012,6,26
2012,7,47
2012,8,1
2012,9,19
2012,10,66
2012,11,39
2012,12,26
2013,1,44
2013,2,23
2013,3,23
2013,4,45
2013,5,24
2013,6,32
2013,7,31
2013,9,20
2013,10,65
2013,11,36
2013,12,34
2014,1,25
2014,2,29
2014,3,40
2014,4,33
2014,5,18
2014,6,30
2014,7,43
2014,9,10
2014,10,35
2014,11,24
2014,12,14
2015,1,24
2015,2,29
2015,3,13
2015,4,28
2015,5,15
2015,6,25
2015,7,33
2015,9,11
2015,10,38
2015,11,22
2015,12,19
2016,1,28
2016,2,23
2016,3,33
2016,4,25
2016,5,18
2016,6,40
2016,7,26
2016,8,2
2016,9,15
2016,10,41
2016,11,31
2016,12,18
2017,1,28
2017,2,35
2017,3,27
2017,4,35
2017,5,24
2017,6,45
2017,7,37
2017,9,18
2017,10,55
2017,11,53
2017,12,29
2018,1,37
2018,2,37
2018,3,28
2018,4,19
2018,5,14
2018,6,38
2018,7,25
2018,8,5
2018,9,21
2018,10,32
2018,11,36
2018,12,32
2019,1,33
2019,2,27
2019,3,24
2019,4,21
2019,5,19
2019,6,42
2019,7,34
2019,8,5
2019,9,21
2019,10,43
2019,11,16
2019,12,35
2020,1,33
2020,2,25
2020,3,25
2020,4,8
2020,5,20
2020,6,27
2020,7,17
2020,9,21
2020,10,51
2020,11,17
2020,12,24
2021,1,21
2021,2,28
2021,3,26
2021,4,29
2021,5,19
2021,6,44
2021,7,34
2021,8,5
2021,9,26
2021,10,26
2021,11,27
2021,12,40
2022,1,29
2022,2,25
2022,3,23
2022,4,14
2022,5,17
2022,6,33
2022,7,18
2022,8,2
2022,9,38
2022,10,56
2022,11,36
2022,12,32
2023,1,32
2023,2,24
2023,3,33
