year,month,count
1960,11,1
1961,4,1
1961,7,1
1962,3,1
1967,2,1
1968,6,2
1968,7,1
1969,11,2
1970,1,1
1970,11,1
1971,6,1
1971,7,1
1972,3,1
1972,6,1
1973,6,1
1974,5,1
1975,2,1
1975,10,1
1976,2,2
1976,6,1
1976,11,1
1976,12,2
1978,1,1
1978,4,1
1978,6,1
1978,9,1
1978,11,1
1979,4,1
1979,6,1
1979,10,2
1979,12,1
1980,2,1
1980,3,2
1980,5,1
1980,11,3
1981,2,1
1981,5,1
1981,6,1
1981,8,1
1981,10,1
1981,11,2
1982,2,1
1982,3,1
1982,6,1
1982,7,1
1982,9,1
1982,10,4
1982,12,2
1983,2,2
1983,3,3
1983,4,2
1983,6,1
1983,7,1
1983,10,2
1983,11,2
1983,12,2
1984,2,3
1984,4,1
1984,5,3
1984,6,1
1984,7,1
1984,8,1
1984,10,6
1984,11,1
1984,12,1
1985,2,2
1985,3,2
1985,4,1
1985,5,3
1985,6,1
1985,9,1
1985,10,1
1986,1,1
1986,2,1
1986,5,2
1986,6,2
1986,7,2
1986,8,2
1986,10,3
1986,11,2
1986,12,2
1987,3,4
1987,4,4
1987,6,3
1987,7,7
1987,8,3
1987,9,4
1987,10,3
1987,11,2
1987,12,2
1988,2,1
1988,3,1
1988,4,2
1988,5,3
1988,6,9
1988,7,1
1988,10,5
1988,11,2
1988,12,2
1989,2,2
1989,3,3
1989,4,1
1989,5,3
1989,6,2
1989,7,5
1989,10,3
1989,11,3
1989,12,3
1990,2,3
1990,3,5
1990,4,3
1990,5,2
1990,6,3
1990,8,4
1990,9,3
1990,10,6
1990,12,1
1991,1,1
1991,2,22
1991,3,4
1991,4,2
1991,5,5
1991,6,2
1991,8,5
1991,10,7
1991,11,8
1991,12,16
1992,2,39
1992,3,6
1992,4,3
1992,5,1
1992,6,3
1992,8,4
1992,9,5
1992,10,8
1992,11,6
1992,12,6
1993,1,1
1993,2,14
1993,3,1
1993,4,3
1993,5,3
1993,6,10
1993,8,5
1993,9,8
1993,10,5
1993,11,10
1994,1,1
1994,2,8
1994,3,4
1994,4,4
1994,5,1
1994,6,3
1994,7,3
1994,8,1
1994,9,8
1994,10,6
1994,11,4
1994,12,7
1995,1,2
1995,2,6
1995,3,2
1995,4,4
1995,5,2
1995,6,4
1995,7,7
1995,9,8
1995,10,10
1995,11,7
1995,12,4
1996,1,1
1996,2,11
1996,3,4
1996,4,4
1996,5,1
1996,6,4
1996,7,1
1996,8,7
1996,9,10
1996,10,5
1996,11,14
1996,12,10
1997,1,1
1997,2,9
1997,3,8
1997,4,6
1997,5,5
1997,6,5
1997,7,11
1997,8,7
1997,9,26
1997,10,12
1997,11,8
1997,12,7
1998,1,1
1998,2,13
1998,3,10
1998,4,14
1998,5,7
1998,6,9
1998,7,16
1998,8,7
1998,9,18
1998,10,11
1999,1,5
1999,2,8
1999,3,5
1999,4,6
1999,5,7
1999,6,6
1999,7,29
1999,8,1
1999,9,12
1999,10,29
1999,11,29
1999,12,40
2000,1,45
2000,2,53
2000,3,36
2000,4,55
2000,5,22
2000,6,147
2000,7,46
2000,8,13
2000,9,25
2000,10,72
2000,11,138
2000,12,43
2001,1,79
2001,2,61
2001,3,101
2001,4,80
2001,5,38
2001,6,53
